,,읍면동명,시군구,투표구명,선거인수,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬,계,무효투표수,기권수
경기도,군포시,금정동,경기도군포시금정동,합계,"15,986","11,602","4,849","2,418","2,768",681,795,16,0,8,4,8,5,6,11,"11,569",33,"4,384"
경기도,군포시,재궁동,경기도군포시재궁동,합계,"17,879","14,261","6,438","2,579","3,140","1,038",980,17,2,9,1,10,0,2,11,"14,227",34,"3,618"
경기도,군포시,오금동,경기도군포시오금동,합계,"17,459","14,712","6,816","2,494","3,248","1,077",977,15,1,23,0,9,6,4,8,"14,678",34,"2,747"
경기도,군포시,수리동,경기도군포시수리동,합계,"13,874","11,224","4,926","2,282","2,481",739,721,23,0,7,1,9,1,1,4,"11,195",29,"2,650"
경기도,군포시,궁내동,경기도군포시궁내동,합계,"14,796","12,484","5,785","2,238","2,652",934,805,9,0,12,2,10,0,3,6,"12,456",28,"2,312"
경기도,군포시,광정동,경기도군포시광정동,합계,"18,918","15,339","6,744","2,941","3,488","1,120",933,17,1,10,7,7,3,9,9,"15,289",50,"3,579"
경기도,군포시,대야동,경기도군포시대야동,합계,"7,598","6,152","2,714","1,217","1,327",405,434,8,1,13,2,5,0,2,1,"6,129",23,"1,446"
경기도,하남시,합계,경기도하남시,,"176,100","138,937","57,298","31,793","30,999","9,680","8,135",174,17,68,19,109,24,43,86,"138,445",492,"37,163"
경기도,하남시,천현동,경기도하남시천현동,합계,"6,004","3,913","1,205","1,345",927,191,197,7,2,3,1,3,1,1,6,"3,889",24,"2,091"
경기도,하남시,신장1동,경기도하남시신장1동,합계,"6,370","4,635","1,665","1,264","1,068",278,301,8,0,5,1,6,1,5,5,"4,607",28,"1,735"
경기도,하남시,신장2동,경기도하남시신장2동,합계,"33,009","25,840","10,115","6,703","5,686","1,707","1,442",24,2,8,2,14,3,7,17,"25,730",110,"7,169"
경기도,하남시,덕풍1동,경기도하남시덕풍1동,합계,"13,439","9,881","3,682","2,663","2,249",632,568,16,0,5,0,10,2,2,6,"9,835",46,"3,558"
경기도,하남시,덕풍2동,경기도하남시덕풍2동,합계,"15,985","11,330","4,240","2,979","2,643",705,655,27,1,9,3,15,2,2,8,"11,289",41,"4,655"
경기도,하남시,덕풍3동,경기도하남시덕풍3동,합계,"19,292","14,483","5,819","3,413","3,318",990,851,7,1,7,2,18,2,3,4,"14,435",48,"4,809"
경기도,하남시,풍산동,경기도하남시풍산동,합계,"4,444","3,277","1,416",693,724,241,177,4,0,1,1,3,0,0,3,"3,263",14,"1,167"
경기도,하남시,감북동,경기도하남시감북동,합계,"3,061","2,047",613,784,440,110,81,1,2,2,0,1,1,1,3,"2,039",8,"1,014"
경기도,하남시,춘궁동,경기도하남시춘궁동,합계,"3,382","2,460",670,"1,023",527,107,105,1,0,1,1,3,1,1,0,"2,440",20,922
경기도,하남시,초이동,경기도하남시초이동,합계,"3,001","2,069",649,673,517,119,86,3,1,2,0,6,0,4,0,"2,060",9,932
경기도,하남시,미사1동,경기도하남시미사1동,합계,"13,108","10,575","4,817","1,887","2,368",821,633,7,2,3,3,7,1,1,3,"10,553",22,"2,533"
경기도,하남시,미사2동,경기도하남시미사2동,합계,"25,975","21,487","10,328","3,610","4,603","1,563","1,284",23,1,9,1,14,3,5,11,"21,455",32,"4,488"
경기도,하남시,위례동,경기도하남시위례동,합계,"10,787","8,974","3,751","1,681","2,177",870,462,8,0,0,0,4,0,4,1,"8,958",16,"1,813"
경기도,파주시,합계,경기도파주시,,"340,754","256,847","107,148","55,347","54,921","16,819","20,208",399,52,198,82,224,92,96,259,"255,845","1,002","83,907"
경기도,파주시,문산읍,경기도파주시문산읍,합계,"37,173","26,018","10,060","6,454","5,458","1,711","2,041",43,9,25,10,30,5,15,43,"25,904",114,"11,155"
경기도,파주시,조리읍,경기도파주시조리읍,합계,"23,691","16,895","6,030","4,604","3,864",969,"1,263",36,1,15,10,11,8,6,19,"16,836",59,"6,796"
경기도,파주시,법원읍,경기도파주시법원읍,합계,"9,658","6,325","1,741","2,316","1,468",321,351,17,3,9,6,11,9,4,16,"6,272",53,"3,333"
경기도,파주시,파주읍,경기도파주시파주읍,합계,"11,119","7,231","2,127","2,479","1,617",406,499,8,3,9,2,4,8,6,15,"7,183",48,"3,888"
경기도,파주시,광탄면,경기도파주시광탄면,합계,"10,196","6,792","1,914","2,311","1,576",335,559,14,4,5,4,6,4,10,7,"6,749",43,"3,404"
경기도,파주시,탄현면,경기도파주시탄현면,합계,"10,670","7,420","2,793","2,093","1,488",413,559,8,1,11,2,5,2,2,5,"7,382",38,"3,250"
경기도,파주시,월롱면,경기도파주시월롱면,합계,"10,552","7,522","3,252","1,331","1,371",654,839,5,1,4,2,11,5,3,13,"7,491",31,"3,030"
경기도,파주시,적성면,경기도파주시적성면,합계,"6,121","4,203","1,054","1,612",973,283,215,6,1,3,1,5,5,4,8,"4,170",33,"1,918"
경기도,파주시,파평면,경기도파주시파평면,합계,"3,454","2,497",699,969,504,129,158,6,3,2,0,1,3,1,4,"2,479",18,957
경기도,파주시,군내면,경기도파주시군내면,합계,716,633,238,159,140,39,41,2,1,0,0,0,0,1,3,624,9,83
경기도,파주시,진동면,경기도파주시진동면,합계,227,198,68,67,33,16,4,0,1,0,1,2,0,1,2,195,3,29
경기도,파주시,교하동,경기도파주시교하동,합계,"27,327","20,515","9,338","4,102","4,264","1,238","1,444",38,3,8,8,10,2,5,7,"20,467",48,"6,812"
경기도,파주시,운정1동,경기도파주시운정1동,합계,"33,092","26,520","12,526","4,382","5,661","1,803","2,004",26,1,18,3,25,1,6,19,"26,475",45,"6,572"
경기도,파주시,운정2동,경기도파주시운정2동,합계,"24,387","19,311","9,068","3,160","4,161","1,343","1,484",23,0,9,4,11,2,4,7,"19,276",35,"5,076"
경기도,파주시,운정3동,경기도파주시운정3동,합계,"38,271","28,996","13,407","4,848","6,374","1,955","2,198",45,3,16,5,33,4,9,12,"28,909",87,"9,275"
경기도,파주시,금촌1동,경기도파주시금촌1동,합계,"18,009","11,647","4,167","3,176","2,614",699,876,17,1,10,4,12,4,5,11,"11,596",51,"6,362"
경기도,파주시,금촌2동,경기도파주시금촌2동,합계,"25,316","19,464","8,660","3,458","4,135","1,354","1,700",30,1,25,5,11,7,2,21,"19,409",55,"5,852"
경기도,파주시,금촌3동,경기도파주시금촌3동,합계,"21,588","15,980","6,515","3,363","3,508","1,071","1,389",29,2,8,3,17,5,3,13,"15,926",54,"5,608"
경기도,여주시,합계,경기도여주시,,"93,145","65,695","20,474","21,581","14,545","3,936","4,387",90,13,72,25,66,40,50,90,"65,369",326,"27,450"
경기도,여주시,점동면,경기도여주시점동면,합계,"4,027","2,821",721,"1,196",590,135,124,4,2,4,2,6,3,4,1,"2,792",29,"1,206"
경기도,여주시,가남읍,경기도여주시가남읍,합계,"12,175","7,955","2,415","2,539","1,906",470,546,9,1,7,5,3,7,9,9,"7,926",29,"4,220"
경기도,여주시,능서면,경기도여주시능서면,합계,"5,096","3,497",899,"1,436",755,163,192,5,0,7,4,3,1,2,8,"3,475",22,"1,599"
경기도,여주시,흥천면,경기도여주시흥천면,합계,"3,986","2,726",594,"1,197",638,144,120,8,0,1,2,3,2,3,2,"2,714",12,"1,260"
경기도,여주시,금사면,경기도여주시금사면,합계,"2,423","1,751",322,887,377,73,65,3,1,5,0,1,1,4,2,"1,741",10,672
경기도,여주시,산북면,경기도여주시산북면,합계,"2,028","1,519",383,661,313,71,73,0,0,3,1,1,2,2,2,"1,512",7,509
경기도,여주시,대신면,경기도여주시대신면,합계,"6,025","3,939",899,"1,745",888,182,182,7,0,2,1,6,4,2,3,"3,921",18,"2,086"
경기도,여주시,북내면,경기도여주시북내면,합계,"4,092","2,653",642,"1,089",596,134,149,8,1,3,3,2,4,4,4,"2,639",14,"1,439"
경기도,여주시,강천면,경기도여주시강천면,합계,"3,171","2,201",574,957,445,86,93,0,2,3,0,6,3,6,6,"2,181",20,970
경기도,여주시,여흥동,경기도여주시여흥동,합계,"17,065","11,456","3,848","3,543","2,414",725,813,13,2,12,4,9,7,4,17,"11,411",45,"5,609"
경기도,여주시,중앙동,경기도여주시중앙동,합계,"13,902","9,455","3,187","2,744","2,058",628,754,8,1,11,1,9,2,4,10,"9,417",38,"4,447"
경기도,여주시,오학동,경기도여주시오학동,합계,"10,837","7,526","2,807","1,897","1,696",475,593,8,3,4,0,11,2,3,6,"7,505",21,"3,311"
경기도,이천시,합계,경기도이천시,,"167,583","121,841","44,109","33,301","26,695","7,913","8,489",145,29,93,35,89,63,69,171,"121,201",640,"45,742"
경기도,이천시,장호원읍,경기도이천시장호원읍,합계,"11,696","7,967","2,302","3,070","1,725",414,374,8,2,6,0,1,5,7,16,"7,930",37,"3,729"
경기도,이천시,부발읍,경기도이천시부발읍,합계,"24,961","17,696","7,344","3,948","3,866","1,125","1,280",13,4,13,4,11,10,5,21,"17,644",52,"7,265"
경기도,이천시,신둔면,경기도이천시신둔면,합계,"8,963","6,308","2,032","2,051","1,484",327,347,8,2,9,0,3,1,2,10,"6,276",32,"2,655"
경기도,이천시,백사면,경기도이천시백사면,합계,"7,803","5,157","1,628","1,749","1,152",278,306,8,1,5,3,5,1,3,1,"5,140",17,"2,646"
경기도,이천시,호법면,경기도이천시호법면,합계,"4,721","3,255",844,"1,338",674,177,191,10,2,0,1,4,2,3,1,"3,247",8,"1,466"
경기도,이천시,마장면,경기도이천시마장면,합계,"7,699","5,274","1,506","1,805","1,224",362,301,6,2,2,2,2,5,2,8,"5,227",47,"2,425"
경기도,이천시,대월면,경기도이천시대월면,합계,"10,583","7,506","3,031","1,777","1,581",409,635,13,2,6,2,7,3,4,4,"7,474",32,"3,077"
경기도,이천시,모가면,경기도이천시모가면,합계,"3,983","2,823",672,"1,146",654,137,158,4,1,4,4,2,4,4,7,"2,797",26,"1,160"
경기도,이천시,설성면,경기도이천시설성면,합계,"4,092","2,787",673,"1,180",597,155,135,0,0,6,0,1,3,3,6,"2,759",28,"1,305"
경기도,이천시,율면,경기도이천시율면,합계,"2,454","1,711",490,639,396,76,88,3,0,2,0,1,0,2,6,"1,703",8,743
경기도,이천시,창전동,경기도이천시창전동,합계,"14,942","9,922","3,164","3,114","2,119",667,749,12,2,9,6,5,8,9,19,"9,883",39,"5,020"
경기도,이천시,증포동,경기도이천시증포동,합계,"30,393","22,518","9,471","4,512","5,022","1,617","1,729",22,5,7,6,20,6,6,18,"22,441",77,"7,875"
경기도,이천시,중리동,경기도이천시중리동,합계,"11,855","8,292","2,696","2,741","1,779",507,485,7,0,8,3,5,7,8,9,"8,255",37,"3,563"
경기도,이천시,관고동,경기도이천시관고동,합계,"9,053","6,429","2,169","1,902","1,353",429,498,15,1,4,0,8,2,3,5,"6,389",40,"2,624"
경기도,용인시처인구,합계,경기도용인시처인구,,"184,406","134,872","50,423","33,153","32,027","8,707","9,227",152,32,80,44,98,57,59,164,"134,223",649,"49,534"
경기도,용인시처인구,포곡읍,경기도용인시처인구포곡읍,합계,"25,466","17,931","7,035","4,055","4,300","1,127","1,251",21,4,7,8,16,7,8,21,"17,860",71,"7,535"
경기도,용인시처인구,모현면,경기도용인시처인구모현면,합계,"18,806","13,121","4,824","3,316","3,272",767,846,13,0,4,4,5,4,7,14,"13,076",45,"5,685"
경기도,용인시처인구,남사면,경기도용인시처인구남사면,합계,"5,409","3,754","1,050","1,365",955,179,166,3,2,1,1,1,4,5,5,"3,737",17,"1,655"
경기도,용인시처인구,이동면,경기도용인시처인구이동면,합계,"15,507","10,341","3,688","2,864","2,506",575,594,15,1,9,2,8,6,5,20,"10,293",48,"5,166"
경기도,용인시처인구,원삼면,경기도용인시처인구원삼면,합계,"6,231","4,435","1,207","1,662","1,036",242,239,11,3,2,3,3,3,3,5,"4,419",16,"1,796"
경기도,용인시처인구,백암면,경기도용인시처인구백암면,합계,"7,405","4,990","1,351","1,806","1,175",287,262,9,4,12,5,6,7,6,10,"4,940",50,"2,415"
경기도,용인시처인구,양지면,경기도용인시처인구양지면,합계,"13,525","9,339","3,246","2,619","2,209",578,586,14,2,6,4,9,6,3,13,"9,295",44,"4,186"
경기도,용인시처인구,중앙동,경기도용인시처인구중앙동,합계,"18,909","13,462","4,939","3,429","3,107",919,942,8,1,12,1,9,3,7,15,"13,392",70,"5,447"
경기도,용인시처인구,역삼동,경기도용인시처인구역삼동,합계,"22,329","16,867","6,705","3,648","3,987","1,173","1,236",16,2,3,2,14,4,3,10,"16,803",64,"5,462"
경기도,용인시처인구,유림동,경기도용인시처인구유림동,합계,"22,773","15,987","6,405","3,402","3,915",982,"1,168",13,6,6,3,14,3,5,14,"15,936",51,"6,786"
경기도,용인시처인구,동부동,경기도용인시처인구동부동,합계,"11,010","7,862","2,769","2,076","1,921",494,536,8,2,3,4,5,1,1,6,"7,826",36,"3,148"
경기도,용인시수지구,합계,경기도용인시수지구,,"268,809","225,513","95,325","50,229","47,125","18,555","13,042",375,16,69,20,94,19,45,89,"225,003",510,"43,296"
경기도,용인시수지구,풍덕천1동,경기도용인시수지구풍덕천1동,합계,"28,390","23,038","10,259","4,557","4,896","1,811","1,385",43,0,15,0,13,4,5,7,"22,995",43,"5,352"
경기도,용인시수지구,풍덕천2동,경기도용인시수지구풍덕천2동,합계,"25,408","21,172","9,723","3,890","4,367","1,777","1,295",34,3,8,3,10,1,2,8,"21,121",51,"4,236"
경기도,용인시수지구,신봉동,경기도용인시수지구신봉동,합계,"25,269","20,849","8,239","5,401","4,311","1,738","1,051",38,0,6,2,7,1,4,10,"20,808",41,"4,420"
경기도,용인시수지구,죽전1동,경기도용인시수지구죽전1동,합계,"39,090","32,072","14,219","6,830","6,550","2,609","1,724",34,2,10,6,16,3,10,6,"32,019",53,"7,018"
경기도,용인시수지구,죽전2동,경기도용인시수지구죽전2동,합계,"13,406","10,953","4,869","2,163","2,310",929,633,14,1,2,1,5,0,1,4,"10,932",21,"2,453"
경기도,용인시수지구,동천동,경기도용인시수지구동천동,합계,"25,130","20,756","8,596","4,730","4,379","1,652","1,281",37,1,4,4,12,1,7,13,"20,717",39,"4,374"
경기도,용인시수지구,상현1동,경기도용인시수지구상현1동,합계,"30,360","24,600","10,271","5,448","5,363","2,059","1,354",38,1,2,0,6,0,3,11,"24,556",44,"5,760"
경기도,용인시수지구,상현2동,경기도용인시수지구상현2동,합계,"23,983","20,240","8,320","4,977","4,174","1,562","1,122",22,3,5,2,2,3,1,5,"20,198",42,"3,743"
경기도,용인시수지구,성복동,경기도용인시수지구성복동,합계,"26,874","21,808","6,623","7,694","4,618","1,874",877,72,1,4,1,6,1,4,3,"21,778",30,"5,066"
경기도,용인시기흥구,합계,경기도용인시기흥구,,"319,811","261,414","116,017","53,405","55,393","18,992","16,026",411,13,111,45,141,41,61,112,"260,768",646,"58,397"
경기도,용인시기흥구,신갈동,경기도용인시기흥구신갈동,합계,"27,184","21,403","9,231","4,489","4,858","1,420","1,276",30,2,10,3,18,5,6,7,"21,355",48,"5,781"
경기도,용인시기흥구,영덕동,경기도용인시기흥구영덕동,합계,"28,914","23,055","11,138","3,825","4,764","1,728","1,493",33,1,11,1,12,3,7,4,"23,020",35,"5,859"
경기도,용인시기흥구,구갈동,경기도용인시기흥구구갈동,합계,"19,459","14,931","6,546","2,881","3,217","1,075","1,102",28,0,6,3,14,5,4,3,"14,884",47,"4,528"
경기도,용인시기흥구,상갈동,경기도용인시기흥구상갈동,합계,"31,903","24,990","10,862","5,365","5,376","1,670","1,557",34,1,12,3,24,7,5,10,"24,926",64,"6,913"
경기도,용인시기흥구,기흥동,경기도용인시기흥구기흥동,합계,"15,962","11,815","4,737","2,820","2,773",788,615,28,0,5,3,5,4,3,3,"11,784",31,"4,147"
경기도,용인시기흥구,서농동,경기도용인시기흥구서농동,합계,"15,954","13,075","6,568","1,834","2,602","1,137",882,18,1,7,1,2,0,2,2,"13,056",19,"2,879"
경기도,용인시기흥구,구성동,경기도용인시기흥구구성동,합계,"28,623","22,898","9,096","6,225","4,771","1,495","1,168",37,0,14,3,9,3,7,14,"22,842",56,"5,725"
경기도,용인시기흥구,마북동,경기도용인시기흥구마북동,합계,"22,848","18,484","6,890","5,258","3,903","1,405",936,28,3,8,2,7,2,1,2,"18,445",39,"4,364"
경기도,용인시기흥구,동백동,경기도용인시기흥구동백동,합계,"50,536","41,238","19,978","7,121","8,509","3,006","2,413",68,3,10,6,24,2,6,17,"41,163",75,"9,298"
경기도,용인시기흥구,상하동,경기도용인시기흥구상하동,합계,"17,588","13,884","5,926","2,908","3,159",972,833,32,0,3,6,8,1,4,9,"13,861",23,"3,704"
경기도,용인시기흥구,보정동,경기도용인시기흥구보정동,합계,"24,769","20,267","7,934","5,372","4,262","1,556","1,046",27,0,5,4,3,1,7,7,"20,224",43,"4,502"
경기도,안성시,합계,경기도안성시,,"148,171","106,490","39,380","26,693","25,193","6,427","7,651",158,36,94,33,137,38,65,114,"106,019",471,"41,681"
경기도,안성시,공도읍,경기도안성시공도읍,합계,"38,122","26,649","11,228","5,080","6,363","1,700","2,043",37,4,22,6,29,9,7,27,"26,555",94,"11,473"
경기도,안성시,보개면,경기도안성시보개면,합계,"5,011","3,514","1,030","1,198",842,197,205,5,0,5,2,9,1,6,2,"3,502",12,"1,497"
경기도,안성시,금광면,경기도안성시금광면,합계,"6,243","4,410","1,664","1,158","1,004",238,297,9,2,5,0,5,0,4,7,"4,393",17,"1,833"
경기도,안성시,서운면,경기도안성시서운면,합계,"3,280","2,297",670,816,528,118,140,4,0,1,0,5,0,2,2,"2,286",11,983
경기도,안성시,미양면,경기도안성시미양면,합계,"5,429","3,596","1,179","1,098",858,166,233,9,4,3,3,6,7,5,2,"3,573",23,"1,833"
경기도,안성시,대덕면,경기도안성시대덕면,합계,"12,378","8,005","3,095","1,818","1,938",497,590,17,3,3,2,8,1,6,7,"7,985",20,"4,373"
경기도,안성시,양성면,경기도안성시양성면,합계,"4,551","3,092",778,"1,179",776,145,164,4,1,5,3,6,3,2,4,"3,070",22,"1,459"
경기도,안성시,원곡면,경기도안성시원곡면,합계,"3,825","2,600",806,848,637,153,128,3,0,3,0,2,2,3,3,"2,588",12,"1,225"
경기도,안성시,일죽면,경기도안성시일죽면,합계,"6,450","4,339","1,212","1,568","1,103",213,190,7,2,6,2,1,3,4,5,"4,316",23,"2,111"
경기도,안성시,죽산면,경기도안성시죽산면,합계,"6,075","4,103","1,152","1,466","1,012",187,226,9,1,3,3,4,1,7,1,"4,072",31,"1,972"
경기도,안성시,삼죽면,경기도안성시삼죽면,합계,"2,931","1,986",581,672,492,117,102,3,0,4,0,3,0,0,2,"1,976",10,945
경기도,안성시,고삼면,경기도안성시고삼면,합계,"1,968","1,484",484,464,364,72,77,2,0,3,1,3,2,2,3,"1,477",7,484
경기도,안성시,안성1동,경기도안성시안성1동,합계,"10,305","7,469","2,464","2,282","1,716",397,520,13,2,8,4,14,0,3,8,"7,431",38,"2,836"
경기도,안성시,안성2동,경기도안성시안성2동,합계,"14,348","9,991","3,769","2,357","2,389",591,799,10,2,6,4,15,3,2,7,"9,954",37,"4,357"
경기도,안성시,안성3동,경기도안성시안성3동,합계,"15,381","11,261","4,124","2,780","2,679",696,899,7,5,6,1,14,0,3,13,"11,227",34,"4,120"
경기도,김포시,합계,경기도김포시,,"290,415","225,075","93,697","48,490","51,081","15,614","14,517",309,41,131,53,152,58,69,160,"224,372",703,"65,340"
경기도,김포시,통진읍,경기도김포시통진읍,합계,"20,753","13,620","4,386","4,088","3,276",874,854,17,7,11,4,6,4,6,15,"13,548",72,"7,133"
경기도,김포시,고촌읍,경기도김포시고촌읍,합계,"19,040","14,850","5,682","3,950","3,160","1,096",879,18,2,4,3,7,4,5,9,"14,819",31,"4,190"
경기도,김포시,양촌읍,경기도김포시양촌읍,합계,"19,826","13,207","4,835","3,458","3,261",779,765,13,3,19,7,10,3,5,13,"13,171",36,"6,619"
경기도,김포시,대곶면,경기도김포시대곶면,합계,"8,212","5,249","1,430","1,882","1,305",312,257,11,2,6,4,3,2,4,6,"5,224",25,"2,963"
경기도,김포시,월곶면,경기도김포시월곶면,합계,"4,963","3,320",873,"1,248",754,223,160,9,3,5,3,6,1,2,8,"3,295",25,"1,643"
경기도,김포시,하성면,경기도김포시하성면,합계,"7,277","4,875","1,298","1,814","1,212",249,259,3,0,4,2,3,4,5,5,"4,858",17,"2,402"
경기도,김포시,김포본동,경기도김포시김포본동,합계,"36,092","27,327","10,731","6,272","6,429","1,903","1,806",40,0,15,3,23,5,8,10,"27,245",82,"8,765"
경기도,김포시,장기본동,경기도김포시장기본동,합계,"23,154","18,206","8,234","3,355","4,046","1,350","1,125",23,1,4,0,6,6,2,15,"18,167",39,"4,948"
경기도,김포시,사우동,경기도김포시사우동,합계,"18,770","14,286","5,853","3,009","3,225","1,034","1,036",16,1,8,4,22,2,4,11,"14,225",61,"4,484"
경기도,김포시,풍무동,경기도김포시풍무동,합계,"35,496","28,573","12,379","5,765","6,468","1,953","1,823",52,3,13,7,27,2,10,9,"28,511",62,"6,923"
경기도,김포시,장기동,경기도김포시장기동,합계,"30,708","24,247","11,296","4,225","5,298","1,766","1,541",25,3,14,0,7,4,2,12,"24,193",54,"6,461"
경기도,김포시,구래동,경기도김포시구래동,합계,"23,418","18,019","8,482","3,006","4,133","1,141","1,163",23,2,13,4,7,8,2,8,"17,992",27,"5,399"
경기도,김포시,운양동,경기도김포시운양동,합계,"17,069","14,118","6,628","2,274","3,219","1,118",812,16,1,4,1,7,3,4,7,"14,094",24,"2,951"
경기도,광주시,합계,경기도광주시,,"268,162","199,221","80,175","45,030","46,829","12,629","12,860",274,36,101,44,181,68,61,219,"198,507",714,"68,941"
경기도,광주시,오포읍,경기도광주시오포읍,합계,"65,037","46,641","19,572","9,798","10,917","3,141","2,908",60,8,18,12,36,7,13,42,"46,532",109,"18,396"
경기도,광주시,초월읍,경기도광주시초월읍,합계,"30,274","21,990","8,570","5,294","5,333","1,287","1,335",40,7,14,5,14,6,7,22,"21,934",56,"8,284"
경기도,광주시,곤지암읍,경기도광주시곤지암읍,합계,"17,938","12,179","4,143","3,549","2,900",733,711,27,1,10,6,5,7,5,17,"12,114",65,"5,759"
경기도,광주시,도척면,경기도광주시도척면,합계,"7,060","4,940","1,593","1,577","1,212",264,243,10,2,1,1,3,3,1,5,"4,915",25,"2,120"
경기도,광주시,퇴촌면,경기도광주시퇴촌면,합계,"10,375","7,333","2,335","2,399","1,820",358,362,10,2,3,1,8,1,5,6,"7,310",23,"3,042"
경기도,광주시,남종면,경기도광주시남종면,합계,"1,339",998,211,503,188,45,44,1,0,0,1,0,0,0,1,994,4,341
경기도,광주시,남한산성면,경기도광주시남한산성면,합계,"2,316","1,745",596,588,379,78,89,4,0,0,0,2,1,0,0,"1,737",8,571
경기도,광주시,경안동,경기도광주시경안동,합계,"30,007","21,143","8,256","4,719","5,158","1,425","1,406",31,3,12,4,24,9,4,17,"21,068",75,"8,864"
경기도,광주시,송정동,경기도광주시송정동,합계,"42,269","29,887","11,544","7,010","7,253","1,888","1,954",30,3,22,5,34,14,5,35,"29,797",90,"12,382"
경기도,광주시,광남동,경기도광주시광남동,합계,"31,738","22,927","9,515","4,891","5,660","1,238","1,472",17,3,4,1,23,4,7,20,"22,855",72,"8,811"
경기도,포천시,합계,경기도포천시,,"128,917","90,620","27,632","28,030","22,505","5,781","5,529",114,29,69,36,108,46,62,134,"90,075",545,"38,297"
경기도,포천시,소흘읍,경기도포천시소흘읍,합계,"34,314","23,598","8,227","6,222","5,864","1,555","1,506",19,7,15,8,30,6,11,26,"23,496",102,"10,716"
경기도,포천시,군내면,경기도포천시군내면,합계,"5,185","3,527",831,"1,330",900,224,176,9,2,1,2,8,2,6,1,"3,492",35,"1,658"
경기도,포천시,내촌면,경기도포천시내촌면,합계,"4,269","2,882",735,"1,204",663,119,115,3,0,2,0,4,1,2,4,"2,852",30,"1,387"
경기도,포천시,가산면,경기도포천시가산면,합계,"6,808","4,431","1,183","1,628","1,118",244,214,6,1,5,4,1,4,5,4,"4,417",14,"2,377"
경기도,포천시,신북면,경기도포천시신북면,합계,"10,034","6,539","1,690","2,364","1,654",367,379,12,2,5,1,10,4,9,10,"6,507",32,"3,495"
경기도,포천시,창수면,경기도포천시창수면,합계,"1,952","1,418",318,604,350,66,55,3,2,2,1,5,0,1,2,"1,409",9,534
경기도,포천시,영중면,경기도포천시영중면,합계,"4,483","3,072",749,"1,206",739,184,161,4,0,3,2,6,4,1,3,"3,062",10,"1,411"
경기도,포천시,일동면,경기도포천시일동면,합계,"8,258","5,480","1,392","1,956","1,446",334,275,7,2,3,2,8,3,3,10,"5,441",39,"2,778"
경기도,포천시,이동면,경기도포천시이동면,합계,"4,912","3,452",904,"1,194",937,237,139,3,2,2,2,2,2,2,6,"3,432",20,"1,460"
경기도,포천시,영북면,경기도포천시영북면,합계,"7,397","4,996","1,224","1,771","1,354",304,262,3,1,8,2,6,3,8,9,"4,955",41,"2,401"
경기도,포천시,관인면,경기도포천시관인면,합계,"2,620","1,862",459,710,479,101,95,3,0,3,1,0,4,0,0,"1,855",7,758
경기도,포천시,화현면,경기도포천시화현면,합계,"2,172","1,544",335,651,369,86,79,6,1,0,0,2,0,2,3,"1,534",10,628
경기도,포천시,포천동,경기도포천시포천동,합계,"14,831","10,541","3,221","3,152","2,550",729,790,15,2,7,6,10,1,5,12,"10,500",41,"4,290"
경기도,포천시,선단동,경기도포천시선단동,합계,"11,334","7,076","2,247","2,022","1,830",445,452,8,2,4,1,5,6,2,8,"7,032",44,"4,258"
경기도,연천군,합계,경기도연천군,,"38,909","28,675","8,384","9,557","6,805","1,901","1,581",41,10,28,21,21,18,33,50,"28,450",225,"10,234"
경기도,연천군,연천읍,경기도연천군연천읍,합계,"6,249","4,586","1,280","1,481","1,142",321,269,7,2,4,6,9,2,3,12,"4,538",48,"1,663"
경기도,연천군,전곡읍,경기도연천군전곡읍,합계,"14,443","10,017","3,028","3,138","2,450",708,589,12,3,6,8,5,5,6,12,"9,970",47,"4,426"
경기도,연천군,군남면,경기도연천군군남면,합계,"2,842","1,999",460,803,528,95,70,5,0,6,0,2,2,7,2,"1,980",19,843
경기도,연천군,청산면,경기도연천군청산면,합계,"3,419","2,334",523,"1,066",479,125,106,1,0,6,1,0,4,7,5,"2,323",11,"1,085"
경기도,연천군,백학면,경기도연천군백학면,합계,"2,252","1,569",381,627,361,89,81,3,0,3,1,3,1,3,3,"1,556",13,683
경기도,연천군,미산면,경기도연천군미산면,합계,"1,429","1,003",241,403,264,48,36,2,0,0,1,0,2,1,2,"1,000",3,426
경기도,연천군,왕징면,경기도연천군왕징면,합계,977,761,208,295,173,37,29,4,1,1,1,0,0,2,1,752,9,216
경기도,연천군,신서면,경기도연천군신서면,합계,"2,670","1,989",544,750,469,113,80,0,1,1,2,0,2,1,3,"1,966",23,681
경기도,연천군,중면,경기도연천군중면,합계,197,163,49,44,32,17,16,0,1,1,0,0,0,1,0,161,2,34
경기도,연천군,장남면,경기도연천군장남면,합계,609,479,122,217,89,23,22,0,0,0,0,0,0,0,0,473,6,130
경기도,양평군,합계,경기도양평군,,"95,097","71,056","21,329","24,800","15,653","4,216","4,194",157,14,52,26,31,34,77,86,"70,669",387,"24,041"
경기도,양평군,양평읍,경기도양평군양평읍,합계,"22,224","15,876","4,955","5,220","3,434","1,046","1,060",31,2,12,3,6,5,13,17,"15,804",72,"6,348"
경기도,양평군,강상면,경기도양평군강상면,합계,"6,368","4,603","1,398","1,616",991,268,282,15,1,3,0,1,0,6,7,"4,588",15,"1,765"
