,,읍면동명,시군구,투표구명,선거인수,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬,계,무효투표수,기권수
경기도,화성시,동탄4동,경기도화성시동탄4동,합계,"46,428","39,382","20,849","4,536","8,498","2,974","2,390",28,4,14,3,7,4,13,11,"39,331",51,"7,046"
경기도,시흥시,합계,경기도시흥시,,"322,806","239,227","103,732","43,248","58,119","14,846","17,127",301,56,208,58,235,79,80,243,"238,332",895,"83,579"
경기도,시흥시,대야동,경기도시흥시대야동,합계,"25,747","19,170","7,786","3,970","4,774","1,157","1,288",35,7,19,5,19,5,11,19,"19,095",75,"6,577"
경기도,시흥시,신천동,경기도시흥시신천동,합계,"31,334","21,424","8,588","4,629","5,339","1,200","1,447",27,6,12,4,21,7,14,27,"21,321",103,"9,910"
경기도,시흥시,신현동,경기도시흥시신현동,합계,"8,828","6,544","2,328","1,764","1,559",384,433,6,1,10,0,8,6,8,4,"6,511",33,"2,284"
경기도,시흥시,은행동,경기도시흥시은행동,합계,"21,669","16,874","7,469","2,992","3,989","1,063","1,223",12,1,27,3,18,3,3,17,"16,820",54,"4,795"
경기도,시흥시,매화동,경기도시흥시매화동,합계,"10,246","7,351","2,828","1,623","1,874",425,512,13,3,11,1,14,2,2,9,"7,317",34,"2,895"
경기도,시흥시,목감동,경기도시흥시목감동,합계,"14,121","10,714","4,451","2,256","2,570",650,707,15,0,11,0,12,0,6,8,"10,686",28,"3,407"
경기도,시흥시,군자동,경기도시흥시군자동,합계,"18,725","12,769","5,081","2,738","3,254",651,910,22,5,18,4,14,7,1,19,"12,724",45,"5,956"
경기도,시흥시,정왕본동,경기도시흥시정왕본동,합계,"20,249","11,165","5,106","1,881","2,637",653,772,24,0,13,5,11,8,3,11,"11,124",41,"9,084"
경기도,시흥시,정왕1동,경기도시흥시정왕1동,합계,"21,032","13,138","5,870","2,240","3,144",774,995,16,3,9,1,8,8,1,11,"13,080",58,"7,894"
경기도,시흥시,정왕2동,경기도시흥시정왕2동,합계,"23,920","17,642","7,860","2,780","4,281","1,170","1,429",21,3,22,6,14,4,4,12,"17,606",36,"6,278"
경기도,시흥시,정왕3동,경기도시흥시정왕3동,합계,"20,269","14,073","6,200","2,294","3,611",900,979,11,3,7,3,4,3,5,12,"14,032",41,"6,196"
경기도,시흥시,정왕4동,경기도시흥시정왕4동,합계,"25,693","20,489","9,507","2,934","5,030","1,383","1,486",27,2,10,6,20,3,6,13,"20,427",62,"5,204"
경기도,시흥시,과림동,경기도시흥시과림동,합계,"1,837","1,294",366,530,295,45,47,4,0,0,1,0,0,1,0,"1,289",5,543
경기도,시흥시,연성동,경기도시흥시연성동,합계,"17,366","13,579","5,997","2,456","3,149",865,"1,011",12,1,9,4,14,2,2,10,"13,532",47,"3,787"
경기도,시흥시,능곡동,경기도시흥시능곡동,합계,"11,267","8,674","3,753","1,651","2,082",547,570,5,2,6,3,18,2,0,6,"8,645",29,"2,593"
경기도,시흥시,월곶동,경기도시흥시월곶동,합계,"11,961","8,525","3,703","1,619","2,170",462,521,4,2,10,2,8,2,2,4,"8,509",16,"3,436"
경기도,시흥시,장곡동,경기도시흥시장곡동,합계,"12,425","10,028","4,718","1,431","2,456",614,743,9,1,4,3,13,5,0,6,"10,003",25,"2,397"
경기도,군포시,합계,경기도군포시,,"228,831","186,084","82,551","34,784","41,883","12,884","12,595",239,21,150,34,121,37,54,135,"185,488",596,"42,747"
경기도,군포시,군포1동,경기도군포시군포1동,합계,"25,447","18,607","7,594","4,023","4,409","1,233","1,205",16,1,18,2,12,6,7,20,"18,546",61,"6,840"
경기도,군포시,군포2동,경기도군포시군포2동,합계,"40,213","32,978","14,676","6,096","7,471","2,219","2,305",46,4,24,6,16,7,7,17,"32,894",84,"7,235"
경기도,군포시,산본1동,경기도군포시산본1동,합계,"14,821","10,764","4,380","2,387","2,589",631,693,17,3,8,4,2,3,4,11,"10,732",32,"4,057"
경기도,군포시,산본2동,경기도군포시산본2동,합계,"21,239","17,776","7,714","3,498","3,993","1,335","1,106",27,3,12,2,14,1,4,9,"17,718",58,"3,463"
