시도명,구시군명,읍면동명,구분,선거인수,투표수,더불어민주당,국민의힘,정의당,기본소득당,녹색당,진보당,계,무효투표수,기권수
경기도,안성시,안성2동,관내사전투표,"3,391","3,390","1,560","1,548",118,4,9,21,"3,260",130,1
경기도,안성시,안성2동,선거일투표,"16,615","5,571","2,537","2,573",218,14,12,37,"5,391",180,"11,044"
경기도,안성시,안성3동,소계,"17,326","8,398","3,660","4,197",363,16,19,44,"8,299",99,"8,928"
경기도,안성시,안성3동,관내사전투표,"2,757","2,756","1,296","1,294",116,1,9,15,"2,731",25,1
경기도,안성시,안성3동,선거일투표,"14,569","5,642","2,364","2,903",247,15,10,29,"5,568",74,"8,927"
경기도,안성시,잘못 투입·구분된 투표지,,0,17,9,8,0,0,0,0,17,0,-17
경기도,김포시,,,,,더불어민주당,국민의힘,정의당,기본소득당,녹색당,진보당,,,
경기도,김포시,합계,,"392,604","195,815","87,079","99,004","5,791",392,330,620,"193,216","2,599","196,789"
경기도,김포시,거소투표,,370,353,141,176,5,5,2,2,331,22,17
경기도,김포시,관외사전투표,,"20,151","20,147","9,491","9,602",658,56,49,86,"19,942",205,4
경기도,김포시,통진읍,소계,"24,332","10,025","3,990","5,578",211,24,13,40,"9,856",169,"14,307"
경기도,김포시,통진읍,관내사전투표,"2,932","2,932","1,242","1,575",66,6,3,6,"2,898",34,0
경기도,김포시,통진읍,선거일투표,"21,400","7,093","2,748","4,003",145,18,10,34,"6,958",135,"14,307"
경기도,김포시,고촌읍,소계,"35,825","18,823","7,975","9,936",564,31,24,60,"18,590",233,"17,002"
경기도,김포시,고촌읍,관내사전투표,"4,737","4,734","2,153","2,389",131,6,8,14,"4,701",33,3
경기도,김포시,고촌읍,선거일투표,"31,088","14,089","5,822","7,547",433,25,16,46,"13,889",200,"16,999"
경기도,김포시,양촌읍,소계,"23,846","9,867","4,231","5,212",246,17,16,23,"9,745",122,"13,979"
경기도,김포시,양촌읍,관내사전투표,"3,210","3,210","1,421","1,660",78,5,7,8,"3,179",31,0
경기도,김포시,양촌읍,선거일투표,"20,636","6,657","2,810","3,552",168,12,9,15,"6,566",91,"13,979"
경기도,김포시,대곶면,소계,"8,800","3,891","1,254","2,477",69,8,4,2,"3,814",77,"4,909"
경기도,김포시,대곶면,관내사전투표,"1,168","1,167",407,718,18,3,0,0,"1,146",21,1
경기도,김포시,대곶면,선거일투표,"7,632","2,724",847,"1,759",51,5,4,2,"2,668",56,"4,908"
경기도,김포시,월곶면,소계,"4,942","2,514",803,"1,586",52,13,7,11,"2,472",42,"2,428"
경기도,김포시,월곶면,관내사전투표,"1,136","1,136",411,658,22,7,4,7,"1,109",27,0
경기도,김포시,월곶면,선거일투표,"3,806","1,378",392,928,30,6,3,4,"1,363",15,"2,428"
경기도,김포시,하성면,소계,"7,307","3,571","1,146","2,278",79,11,6,9,"3,529",42,"3,736"
경기도,김포시,하성면,관내사전투표,"1,378","1,378",455,874,27,2,2,3,"1,363",15,0
경기도,김포시,하성면,선거일투표,"5,929","2,193",691,"1,404",52,9,4,6,"2,166",27,"3,736"
경기도,김포시,김포본동,소계,"46,160","23,149","9,977","12,090",738,40,29,65,"22,939",210,"23,011"
경기도,김포시,김포본동,관내사전투표,"3,972","3,970","1,708","2,114",102,7,3,9,"3,943",27,2
경기도,김포시,김포본동,선거일투표,"42,188","19,179","8,269","9,976",636,33,26,56,"18,996",183,"23,009"
경기도,김포시,장기본동,소계,"28,041","13,509","6,211","6,644",400,23,24,32,"13,334",175,"14,532"
경기도,김포시,장기본동,관내사전투표,"3,697","3,696","1,704","1,842",99,11,6,9,"3,671",25,1
경기도,김포시,장기본동,선거일투표,"24,344","9,813","4,507","4,802",301,12,18,23,"9,663",150,"14,531"
경기도,김포시,사우동,소계,"19,283","9,454","4,098","4,772",268,23,19,53,"9,233",221,"9,829"
경기도,김포시,사우동,관내사전투표,"3,503","3,502","1,558","1,766",99,11,8,25,"3,467",35,1
경기도,김포시,사우동,선거일투표,"15,780","5,952","2,540","3,006",169,12,11,28,"5,766",186,"9,828"
경기도,김포시,풍무동,소계,"46,986","23,253","10,517","11,421",727,42,47,95,"22,849",404,"23,733"
경기도,김포시,풍무동,관내사전투표,"5,208","5,206","2,512","2,467",146,12,10,23,"5,170",36,2
